Contaminant,Field-Tested,0,P250,Mil-Spec Grade,The Operation Broken Fang Collection
Vendetta,Field-Tested,1,CZ75-Auto,Mil-Spec Grade,The Operation Broken Fang Collection
Vendetta,Well-Worn,0,CZ75-Auto,Mil-Spec Grade,The Operation Broken Fang Collection
Clear Polymer,Well-Worn,0,Nova,Restricted,The Operation Broken Fang Collection
Digital Mesh,Minimal Wear,0,G3SG1,Mil-Spec Grade,The Operation Broken Fang Collection
Condition Zero,Field-Tested,0,MP5-SD,Mil-Spec Grade,The Operation Broken Fang Collection
Gold Bismuth,Minimal Wear,0,UMP-45,Restricted,The Operation Broken Fang Collection
Dezastre,Well-Worn,0,Dual Berettas,Restricted,The Operation Broken Fang Collection
